channel1,channel2,channel3,channel4,channel5,channel6,channel7,channel8,Trigger,Shutdown
-34185.47265625,-18592.13671875,51429.9765625,-37101.6171875,-14148.7880859375,4229.84423828125,-7678.13720703125,-16135.9921875,1.0,0.0
-33001.7265625,-18070.669921875,52077.5078125,-36034.0078125,-10610.5517578125,4840.9853515625,-6949.69384765625,-15270.533203125,1.0,0.0
-32066.169921875,-17282.546875,52899.78515625,-34820.93359375,-5925.08984375,5622.53662109375,-5781.90478515625,-12863.294921875,1.0,0.0
-33102.75390625,-17726.677734375,52348.45703125,-35751.4375,-8972.794921875,5094.1416015625,-6403.72998046875,-13515.6083984375,1.0,0.0
-34183.640625,-18532.099609375,51486.26171875,-37036.57421875,-13861.166015625,4275.97802734375,-7578.0908203125,-15870.990234375,1.0,0.0
-33283.9375,-18234.732421875,51894.53515625,-36322.5234375,-11666.8955078125,4663.95947265625,-7176.83203125,-15657.44140625,1.0,0.0
-32069.61328125,-17342.00390625,52848.46484375,-34882.66796875,-6244.49609375,5565.8974609375,-5882.755859375,-13145.955078125,1.0,0.0
-32873.0234375,-17585.189453125,52500.359375,-35506.953125,-8099.6015625,5233.794921875,-6193.44482421875,-13218.77734375,1.0,0.0
-34098.66015625,-18426.509765625,51581.5234375,-36905.9921875,-13291.8671875,4368.8271484375,-7424.1767578125,-15522.8837890625,1.0,0.0
-33551.0859375,-18377.560546875,51724.12890625,-36595.9765625,-12607.1435546875,4503.83203125,-7375.22607421875,-15984.3583984375,1.0,0.0
-32155.0859375,-17450.185546875,52744.26171875,-35024.69140625,-6853.2685546875,5470.76806640625,-6016.91064453125,-13531.1201171875,1.0,0.0
-32651.830078125,-17463.59765625,52641.93359375,-35269.80078125,-7291.89892578125,5387.75390625,-6012.4404296875,-12947.962890625,1.0,0.0
-33948.0078125,-18297.541015625,51715.8125,-36695.6171875,-12498.291015625,4517.24267578125,-7223.0107421875,-15069.322265625,1.0,0.0
-33795.61328125,-18497.677734375,51578.3046875,-36815.51171875,-13366.65625,4386.12744140625,-7527.888671875,-16178.818359375,1.0,0.0
-32320.845703125,-17599.048828125,52590.75,-35238.1953125,-7704.51220703125,5348.63818359375,-6223.9775390625,-13956.9208984375,1.0,0.0
-32440.830078125,-17365.205078125,52761.11328125,-35066.04296875,-6617.27880859375,5510.95654296875,-5863.39892578125,-12757.4365234375,1.0,0.0
-33744.5625,-18148.140625,51881.52734375,-36454.4453125,-11575.2978515625,4671.9169921875,-6990.10595703125,-14625.1484375,1.0,0.0
-33997.8984375,-18577.384765625,51481.1640625,-36992.359375,-13914.36328125,4284.20361328125,-7646.35302734375,-16284.4970703125,1.0,0.0
-32547.224609375,-17772.9453125,52406.66015625,-35521.75,-8747.623046875,5162.93994140625,-6485.09033203125,-14459.0751953125,1.0,0.0
-32252.359375,-17301.859375,52848.6875,-34917.76171875,-6139.2197265625,5585.8349609375,-5775.556640625,-12696.4169921875,1.0,0.0
-33510.49609375,-17994.8984375,52051.08984375,-36192.97265625,-10608.361328125,4830.435546875,-6751.16552734375,-14181.6455078125,1.0,0.0
-34138.48828125,-18611.4921875,51427.83203125,-37079.93359375,-14163.80859375,4235.4765625,-7675.2314453125,-16250.1650390625,1.0,0.0
-32812.18359375,-17955.78125,52211.9296875,-35811.5625,-9830.6552734375,4973.62060546875,-6750.8974609375,-14955.9541015625,1.0,0.0
-32122.98828125,-17277.943359375,52898.66796875,-34825.08984375,-5891.0703125,5629.197265625,-5746.49951171875,-12752.7431640625,1.0,0.0
-33275.53515625,-17838.123046875,52226.99609375,-35924.6640625,-9620.5927734375,4994.8994140625,-6533.28076171875,-13767.4677734375,1.0,0.0
-34200.31640625,-18587.443359375,51439.54296875,-37087.890625,-14081.2412109375,4249.78173828125,-7655.15966796875,-16074.3916015625,1.0,0.0
-33089.61328125,-18130.439453125,52020.64453125,-36115.45703125,-10913.41796875,4800.439453125,-7006.19921875,-15385.2421875,1.0,0.0
-32061.69921875,-17306.1953125,52884.71875,-34821.0234375,-5970.642578125,5621.37451171875,-5787.62646484375,-12928.3828125,1.0,0.0
-33037.48828125,-17694.9375,52385.24609375,-35672.7578125,-8691.744140625,5147.20458984375,-6325.0966796875,-13420.61328125,1.0,0.0
-34168.3515625,-18517.5703125,51498.6875,-37003.26953125,-13700.009765625,4307.091796875,-7526.9052734375,-15780.734375,1.0,0.0
-33365.8359375,-18294.1875,51831.37109375,-36402.5859375,-11934.6689453125,4623.63720703125,-7218.6748046875,-15759.455078125,1.0,0.0
-32090.130859375,-17383.533203125,52817.796875,-34915.16796875,-6373.4208984375,5554.900390625,-5887.2705078125,-13239.1171875,1.0,0.0
-32811.421875,-17560.55859375,52539.69921875,-35432.56640625,-7821.41162109375,5288.69091796875,-6106.98828125,-13121.45703125,1.0,0.0
-34064.90625,-18404.60546875,51614.73828125,-36843.09375,-13034.732421875,4404.76904296875,-7349.3427734375,-15420.2900390625,1.0,0.0
-33633.51953125,-18431.517578125,51678.88671875,-36661.51171875,-12805.716796875,4469.32080078125,-7417.560546875,-16062.41015625,1.0,0.0
-32203.0078125,-17505.841796875,52708.3203125,-35082.359375,-7032.126953125,5443.5439453125,-6076.232421875,-13642.6552734375,1.0,0.0
-32594.923828125,-17446.474609375,52682.5703125,-35206.0078125,-7022.42626953125,5421.23681640625,-5961.16552734375,-12882.6962890625,1.0,0.0
-33897.8046875,-18266.91796875,51766.8203125,-36628.65234375,-12182.5498046875,4551.75390625,-7157.38623046875,-14964.8056640625,1.0,0.0
-33862.66796875,-18537.330078125,51551.34765625,-36876.17578125,-13513.1943359375,4343.52490234375,-7589.35595703125,-16253.25,1.0,0.0
-32380.345703125,-17661.185546875,52546.08984375,-35313.7890625,-7943.40771484375,5288.73583984375,-6305.20361328125,-14126.302734375,1.0,0.0
-32381.6875,-17356.486328125,52796.83203125,-35006.67578125,-6385.17822265625,5531.296875,-5812.79443359375,-12749.30078125,1.0,0.0
-33679.609375,-18115.955078125,51935.57421875,-36368.25390625,-11223.5712890625,4712.7314453125,-6910.0419921875,-14510.484375,1.0,0.0
-34047.921875,-18604.474609375,51464.22265625,-37016.1875,-13941.0068359375,4262.56689453125,-7648.14111328125,-16297.640625,1.0,0.0
-32622.7734375,-17837.630859375,52358.46875,-35597.43359375,-8974.76171875,5105.2724609375,-6557.64404296875,-14616.744140625,1.0,0.0
-32210.47265625,-17300.294921875,52877.07421875,-34875.73828125,-5952.00146484375,5595.13330078125,-5764.1572265625,-12703.345703125,1.0,0.0
-33442.546875,-17958.330078125,52112.95703125,-36112.41796875,-10243.6259765625,4866.51123046875,-6710.84326171875,-14073.3291015625,1.0,0.0
-34162.8515625,-18618.734375,51435.87890625,-37086.953125,-14106.587890625,4221.08203125,-7686.36279296875,-16233.4912109375,1.0,0.0
-32893.05078125,-18017.25,52166.2890625,-35892.296875,-10085.419921875,4914.83544921875,-6819.15966796875,-15103.5205078125,1.0,0.0
-32100.32421875,-17291.935546875,52914.22265625,-34808.68359375,-5809.173828125,5623.609375,-5736.70947265625,-12794.6298828125,1.0,0.0
-33209.37109375,-17806.650390625,52289.625,-35848.265625,-9274.587890625,5025.96875,-6453.08251953125,-13673.634765625,1.0,0.0
-34205.0546875,-18583.0625,51465.83203125,-37069.25,-13939.173828125,4254.341796875,-7607.2373046875,-15989.9462890625,1.0,0.0
-33178.4375,-18190.564453125,51979.25,-36200.4375,-11166.2607421875,4745.6328125,-7064.44775390625,-15486.40625,1.0,0.0
-32067.154296875,-17332.2578125,52887.53515625,-34839.21875,-5992.14501953125,5599.33544921875,-5803.80908203125,-13013.140625,1.0,0.0
-32974.09765625,-17662.21484375,52447.16015625,-35595.421875,-8364.9169921875,5178.0947265625,-6261.4833984375,-13340.326171875,1.0,0.0
-34151.09765625,-18497.767578125,51538.96484375,-36950.7421875,-13476.3134765625,4324.12353515625,-7478.04443359375,-15667.947265625,1.0,0.0
-33451.12890625,-18345.8203125,51793.28515625,-36467.71875,-12166.6806640625,4569.1435546875,-7278.6220703125,-15860.7978515625,1.0,0.0
-32115.701171875,-17423.587890625,52803.26953125,-34942.21484375,-6513.7900390625,5522.490234375,-5943.77587890625,-13355.7041015625,1.0,0.0
-32744.544921875,-17534.49609375,52596.91796875,-35350.71484375,-7551.2685546875,5331.025390625,-6062.50830078125,-13033.3466796875,1.0,0.0
