channel1,channel2,channel3,channel4,channel5,channel6,channel7,channel8,Trigger,Shutdown
-32980.1328125,-14900.5224609375,54059.5703125,-34498.44140625,-7301.28662109375,5811.00634765625,-7907.4658203125,-14480.6669921875,1.0,0.0
-33820.3359375,-15270.533203125,53625.3203125,-35251.91796875,-9790.5107421875,5386.45751953125,-8467.376953125,-14865.02734375,1.0,0.0
-34738.5,-15977.787109375,52941.8046875,-36344.7421875,-13934.033203125,4704.2822265625,-9801.0166015625,-16777.0859375,1.0,0.0
-34006.8828125,-15733.7509765625,53266.578125,-35771.640625,-12156.3984375,5014.5693359375,-9493.27734375,-16753.16796875,1.0,0.0
-32978.92578125,-14954.970703125,54025.23828125,-34557.5390625,-7571.78759765625,5775.7353515625,-8042.828125,-14727.474609375,1.0,0.0
-33623.55078125,-15150.861328125,53755.54296875,-35042.125,-9054.2890625,5516.76806640625,-8247.3466796875,-14606.41796875,1.0,0.0
-34660.26953125,-15884.4462890625,53030.453125,-36215.32421875,-13441.6240234375,4789.8896484375,-9618.537109375,-16465.45703125,1.0,0.0
-34229.28125,-15858.517578125,53139.484375,-35985.234375,-12940.9892578125,4892.1708984375,-9690.419921875,-16965.689453125,1.0,0.0
-33056.30859375,-15053.9892578125,53948.08203125,-34674.9765625,-8093.56689453125,5704.03125,-8222.5810546875,-15022.115234375,1.0,0.0
-33439.28125,-15045.8984375,53872.890625,-34853.61328125,-8403.00390625,5636.57373046875,-8094.50537109375,-14431.9404296875,1.0,0.0
-34524.68359375,-15763.12109375,53144.35546875,-36045.31640625,-12776.7939453125,4909.8291015625,-9399.310546875,-16097.8154296875,1.0,0.0
-34424.90625,-15951.3671875,53030.140625,-36166.28515625,-13572.6494140625,4793.0185546875,-9838.2548828125,-17113.345703125,1.0,0.0
-33191.84765625,-15177.013671875,53828.140625,-34858.84375,-8821.294921875,5590.2158203125,-8468.0029296875,-15405.537109375,1.0,0.0
-33265.609375,-14961.05078125,53967.796875,-34690.3984375,-7830.84423828125,5739.83837890625,-7966.83251953125,-14316.470703125,1.0,0.0
-34348.10546875,-15631.2451171875,53279.5390625,-35833.37890625,-11969.5830078125,5046.30859375,-9137.2587890625,-15741.9755859375,1.0,0.0
-34582.57421875,-16014.935546875,52958.97265625,-36303.34765625,-13999.2998046875,4713.0439453125,-9944.0224609375,-17163.63671875,1.0,0.0
-33380.49609375,-15325.7421875,53691.21484375,-35093.265625,-9687.291015625,5444.97412109375,-8769.1708984375,-15803.1748046875,1.0,0.0
-33112.859375,-14904.6796875,54040.66015625,-34571.578125,-7423.23779296875,5810.64892578125,-7891.81982421875,-14281.736328125,1.0,0.0
-34149.84375,-15493.9609375,53411.81640625,-35617.50390625,-11122.2724609375,5186.677734375,-8878.42578125,-15376.837890625,1.0,0.0
-34691.33984375,-16038.7626953125,52911.5859375,-36375.6328125,-14191.9716796875,4674.95654296875,-9958.1943359375,-17113.791015625,1.0,0.0
-33599.140625,-15485.0205078125,53521.1640625,-35340.34375,-10631.5625,5279.07958984375,-9024.2041015625,-16189.4580078125,1.0,0.0
-33002.9765625,-14888.8994140625,54057.15625,-34495.9375,-7275.8056640625,5828.4853515625,-7850.20068359375,-14356.7939453125,1.0,0.0
-33942.95703125,-15358.419921875,53531.22265625,-35388.7109375,-10346.578125,5307.1533203125,-8613.5576171875,-15060.158203125,1.0,0.0
-34731.70703125,-16013.236328125,52907.1171875,-36369.55078125,-14155.44921875,4674.6884765625,-9881.52734375,-16955.408203125,1.0,0.0
