channel1,channel2,channel3,channel4,channel5,channel6,channel7,channel8,Trigger,Shutdown
-33304.4140625,-16333.89453125,53489.06640625,-36541.79296875,-12931.9150390625,5030.39404296875,-8304.6123046875,-15400.6201171875,1.0,0.0
-32518.30078125,-16082.9296875,53825.81640625,-35948.9375,-11133.806640625,5360.48486328125,-7989.76513671875,-15256.8984375,1.0,0.0
-31342.95703125,-15298.427734375,54590.828125,-34668.5390625,-6556.392578125,6156.02783203125,-6515.71240234375,-13039.515625,1.0,0.0
-32031.16796875,-15499.99609375,54307.05078125,-35180.125,-8055.8369140625,5881.01220703125,-6732.16650390625,-13044.388671875,1.0,0.0
-33220.99609375,-16240.107421875,53568.546875,-36423.10546875,-12452.693359375,5118.236328125,-8115.29248046875,-15085.37109375,1.0,0.0
-32762.158203125,-16203.71875,53684.6875,-36188.234375,-11943.0732421875,5210.37060546875,-8210.33203125,-15566.4697265625,1.0,0.0
-31423.19921875,-15389.8017578125,54497.3984375,-34806.40625,-7103.5185546875,6059.51318359375,-6730.646484375,-13391.109375,1.0,0.0
-31825.93359375,-15389.533203125,54419.8359375,-34990.8515625,-7429.85400390625,5993.6650390625,-6590.68017578125,-12834.7744140625,1.0,0.0
-33063.1015625,-16114.6689453125,53690.72265625,-36251.22265625,-11818.4853515625,5229.01171875,-7902.1015625,-14708.833984375,1.0,0.0
-32981.3828125,-16298.35546875,53578.515625,-36388.015625,-12599.1865234375,5104.15478515625,-8359.2841796875,-15740.9921875,1.0,0.0
-31586.994140625,-15512.9599609375,54390.6015625,-35007.2578125,-7850.3349609375,5938.6796875,-6967.9775390625,-13807.208984375,1.0,0.0
-31631.607421875,-15300.6181640625,54520.64453125,-34812.484375,-6885.455078125,6098.27099609375,-6439.4033203125,-12695.2099609375,1.0,0.0
-32860.328125,-15981.1396484375,53813.56640625,-36019.34375,-11038.8115234375,5378.00830078125,-7628.203125,-14297.6064453125,1.0,0.0
-33161.44921875,-16362.8623046875,53498.85546875,-36517.921875,-13044.74609375,5032.62939453125,-8453.7431640625,-15793.7421875,1.0,0.0
-31802.0625,-15662.4033203125,54244.51171875,-35234.0390625,-8704.3505859375,5794.42138671875,-7253.09619140625,-14222.0576171875,1.0,0.0
-31467.009765625,-15242.19140625,54596.50390625,-34676.40625,-6477.13330078125,6170.46728515625,-6369.39794921875,-12643.5771484375,1.0,0.0
-32634.619140625,-15842.7373046875,53953.40234375,-35780.62890625,-10210.09765625,5517.1259765625,-7359.625,-13912.44140625,1.0,0.0
-33271.28515625,-16388.611328125,53442.39453125,-36586.36328125,-13250.3828125,4986.62939453125,-8460.8955078125,-15755.7890625,1.0,0.0
-32048.064453125,-15816.4072265625,54083.66796875,-35491.9765625,-9640.9775390625,5619.4072265625,-7540.98681640625,-14658.1845703125,1.0,0.0
-31347.115234375,-15217.5595703125,54632.984375,-34609.08203125,-6311.1044921875,6194.96484375,-6371.36474609375,-12711.9736328125,1.0,0.0
-32404.12890625,-15702.7265625,54093.7265625,-35557.421875,-9417.7734375,5655.8408203125,-7131.99462890625,-13544.7548828125,1.0,0.0
-33313.21875,-16364.2041015625,53456.69921875,-36598.5234375,-13213.994140625,4993.20068359375,-8408.9052734375,-15586.005859375,1.0,0.0
-32305.244140625,-15967.5947265625,53928.09765625,-35769.453125,-10578.5888671875,5456.64208984375,-7820.02587890625,-15037.6728515625,1.0,0.0
-31298.87890625,-15242.19140625,54622.7890625,-34613.41796875,-6409.8095703125,6179.765625,-6427.0654296875,-12867.4072265625,1.0,0.0
-32180.208984375,-15576.259765625,54220.99609375,-35327.55859375,-8650.7958984375,5790.04052734375,-6886.572265625,-13221.99609375,1.0,0.0
-33279.69140625,-16299.96484375,53509.40625,-36512.51171875,-12882.6064453125,5053.37158203125,-8254.0078125,-15315.0126953125,1.0,0.0
-32579.322265625,-16104.7451171875,53799.21875,-36010.046875,-11428.6259765625,5319.1787109375,-8043.4541015625,-15355.8271484375,1.0,0.0
-31331.736328125,-15304.3740234375,54588.4140625,-34690.578125,-6741.59912109375,6134.65966796875,-6566.04833984375,-13136.6123046875,1.0,0.0
-31957.228515625,-15456.5888671875,54352.6484375,-35118.43359375,-7927.98486328125,5917.04296875,-6689.38525390625,-12969.3759765625,1.0,0.0
-33168.2890625,-16198.0859375,53607.70703125,-36378.40234375,-12342.4990234375,5149.97607421875,-8071.48291015625,-14971.3330078125,1.0,0.0
-32814.1953125,-16226.427734375,53662.3359375,-36242.63671875,-12182.86328125,5187.2138671875,-8238.9423828125,-15596.33203125,1.0,0.0
-31453.375,-15415.998046875,54489.6171875,-34849.2734375,-7310.763671875,6042.57080078125,-6760.37451171875,-13484.0478515625,1.0,0.0
-31764.466796875,-15359.4482421875,54459.53515625,-34930.7265625,-7265.7919921875,6039.88818359375,-6513.47705078125,-12763.1591796875,1.0,0.0
-33005.078125,-16078.19140625,53726.21875,-36175.984375,-11613.921875,5284.31005859375,-7806.30224609375,-14573.4267578125,1.0,0.0
-33034.22265625,-16318.025390625,53565.5078125,-36413.40625,-12757.4365234375,5093.56005859375,-8374.5732421875,-15743.40625,1.0,0.0
-31635.005859375,-15548.4990234375,54369.1875,-35062.2421875,-8087.30810546875,5911.76806640625,-7055.86474609375,-13900.818359375,1.0,0.0
