channel1,channel2,channel3,channel4,channel5,channel6,channel7,channel8,Trigger,Shutdown
-9089.60546875,-24651.11328125,35716.12109375,-35353.12890625,-9719.8349609375,-7828.3408203125,-123310.0625,-30484.60546875,1.0,0.0
-8836.5830078125,-24631.890625,35794.75390625,-33577.99609375,-9509.818359375,-7820.7412109375,-123247.203125,-30328.947265625,1.0,0.0
-8974.76171875,-24644.18359375,35757.73828125,-34103.3984375,-9627.208984375,-7824.98828125,-123284.4921875,-30413.83984375,1.0,0.0
-9214.4169921875,-24661.216796875,35678.66015625,-35984.33984375,-9824.5302734375,-7840.63427734375,-123335.40625,-30554.208984375,1.0,0.0
-9119.19921875,-24651.380859375,35711.875,-35534.8046875,-9740.443359375,-7821.63525390625,-123309.65625,-30497.703125,1.0,0.0
-8881.2421875,-24634.484375,35790.28515625,-33909.1171875,-9545.4462890625,-7805.85498046875,-123261.2421875,-30342.671875,1.0,0.0
-8910.6572265625,-24638.865234375,35785.0546875,-33708.30859375,-9574.7724609375,-7813.63330078125,-123278.8984375,-30371.1484375,1.0,0.0
-9204.8955078125,-24659.830078125,35686.3046875,-35880.18359375,-9828.330078125,-7824.7197265625,-123339.7890625,-30578.70703125,1.0,0.0
-9142.4892578125,-24653.705078125,35706.421875,-35700.02734375,-9762.4375,-7808.7607421875,-123317.65625,-30501.59375,1.0,0.0
-8932.2490234375,-24640.384765625,35770.5703125,-34295.1328125,-9581.1201171875,-7808.62646484375,-123274.65625,-30345.041015625,1.0,0.0
-8855.1796875,-24636.13671875,35798.2421875,-33429.94140625,-9526.58203125,-7804.29052734375,-123265.1796875,-30340.03515625,1.0,0.0
-9181.068359375,-24660.724609375,35694.3046875,-35663.640625,-9808.4375,-7818.86376953125,-123336.703125,-30556.35546875,1.0,0.0
-9159.56640625,-24657.953125,35694.57421875,-35826.08984375,-9776.6533203125,-7817.43310546875,-123330.4921875,-30514.78125,1.0,0.0
-8982.6748046875,-24644.005859375,35750.18359375,-34648.06640625,-9625.197265625,-7811.1298828125,-123293.203125,-30402.3515625,1.0,0.0
-8825.630859375,-24634.349609375,35805.2578125,-33268.3828125,-9493.3671875,-7810.90673828125,-123251.9921875,-30306.23828125,1.0,0.0
-9150.0439453125,-24657.728515625,35708.1640625,-35333.50390625,-9773.166015625,-7828.29638671875,-123334.375,-30517.552734375,1.0,0.0
-9183.482421875,-24656.298828125,35697.078125,-35941.875,-9798.6474609375,-7826.1953125,-123335.6328125,-30542.40625,1.0,0.0
-9030.73046875,-24643.78125,35745.625,-34978.51171875,-9670.75,-7820.69677734375,-123296.875,-30454.341796875,1.0,0.0
-8815.572265625,-24629.87890625,35819.20703125,-33284.51953125,-9487.779296875,-7821.05419921875,-123251.09375,-30314.59765625,1.0,0.0
-9096.265625,-24651.470703125,35734.31640625,-34926.79296875,-9731.4580078125,-7837.5947265625,-123316.3203125,-30513.57421875,1.0,0.0
-9200.24609375,-24657.1484375,35690.99609375,-36021.625,-9816.5283203125,-7838.17578125,-123332.453125,-30555.55078125,1.0,0.0
-9072.9755859375,-24646.91015625,35732.97265625,-35243.73828125,-9702.5341796875,-7816.3603515625,-123304.6484375,-30470.748046875,1.0,0.0
-8825.4521484375,-24630.28125,35810.4453125,-33439.91015625,-9494.037109375,-7805.09521484375,-123253.6015625,-30323.13671875,1.0,0.0
-9033.14453125,-24649.548828125,35747.99609375,-34467.1484375,-9668.470703125,-7811.89013671875,-123304.7421875,-30443.25390625,1.0,0.0
-9218.57421875,-24662.06640625,35683.26171875,-36050.19140625,-9820.865234375,-7823.333984375,-123342.828125,-30552.017578125,1.0,0.0
-9109.990234375,-24652.767578125,35715.046875,-35450.984375,-9720.86328125,-7821.05419921875,-123314.171875,-30481.69921875,1.0,0.0
-8856.521484375,-24635.9140625,35789.30078125,-33697.53515625,-9512.2314453125,-7815.9130859375,-123258.875,-30325.55078125,1.0,0.0
-8959.65234375,-24644.8984375,35763.1953125,-34011.3984375,-9607.361328125,-7828.20654296875,-123290.8359375,-30421.171875,1.0,0.0
-9211.466796875,-24660.76953125,35678.48046875,-35999.05078125,-9830.341796875,-7839.1591796875,-123354.5390625,-30592.921875,1.0,0.0
-9122.0146484375,-24651.068359375,35701.90625,-35618.62109375,-9753.2734375,-7838.44384765625,-123324.9453125,-30545.267578125,1.0,0.0
-8895.7255859375,-24636.583984375,35771.1953125,-34049.84375,-9556.6669921875,-7829.41357421875,-123267.0546875,-30368.01953125,1.0,0.0
-8901.314453125,-24641.0546875,35774.32421875,-33645.90234375,-9556.0859375,-7846.7138671875,-123284.578125,-30356.529296875,1.0,0.0
-9215.04296875,-24665.642578125,35669.09375,-35853.984375,-9814.830078125,-7863.83544921875,-123352.6171875,-30555.953125,1.0,0.0
-9158.0458984375,-24658.533203125,35684.73828125,-35755.1015625,-9760.9619140625,-7855.87841796875,-123329.4609375,-30526.76171875,1.0,0.0
-8955.3603515625,-24644.005859375,35751.79296875,-34407.42578125,-9590.060546875,-7829.41357421875,-123280.5078125,-30390.236328125,1.0,0.0
-8856.4765625,-24639.177734375,35791.3125,-33371.9140625,-9505.8388671875,-7805.27392578125,-123267.0078125,-30311.78125,1.0,0.0
-9184.779296875,-24663.541015625,35685.2734375,-35585.5859375,-9790.6005859375,-7818.193359375,-123333.75,-30539.859375,1.0,0.0
-9173.423828125,-24660.322265625,35681.25390625,-35863.46484375,-9775.8037109375,-7808.134765625,-123321.3671875,-30516.568359375,1.0,0.0
-9002.03125,-24647.89453125,35744.1953125,-34749.49609375,-9631.5009765625,-7801.29541015625,-123281.3125,-30401.14453125,1.0,0.0
-8820.04296875,-24636.361328125,35809.37109375,-33256.0,-9481.5205078125,-7796.64599609375,-123239.875,-30290.056640625,1.0,0.0
-9141.595703125,-24660.90234375,35707.5390625,-35219.91015625,-9754.9716796875,-7816.89697265625,-123310.1953125,-30518.71484375,1.0,0.0
-9208.9638671875,-24664.076171875,35679.2421875,-35963.64453125,-9792.791015625,-7823.28955078125,-123315.421875,-30529.21875,1.0,0.0
-9071.634765625,-24654.466796875,35727.20703125,-35054.6875,-9663.330078125,-7806.3916015625,-123281.5859375,-30422.9140625,1.0,0.0
-8842.08203125,-24640.072265625,35804.85546875,-33308.03125,-9472.087890625,-7780.8212890625,-123234.8671875,-30278.03125,1.0,0.0
-9110.6162109375,-24664.076171875,35724.16796875,-34782.04296875,-9692.2529296875,-7791.7734375,-123298.65625,-30429.84375,1.0,0.0
-9237.796875,-24670.513671875,35676.42578125,-36017.5546875,-9798.423828125,-7793.740234375,-123314.4375,-30518.84765625,1.0,0.0
-9114.8623046875,-24660.9921875,35715.359375,-35287.546875,-9687.8720703125,-7778.49658203125,-123273.359375,-30420.142578125,1.0,0.0
-8864.076171875,-24645.123046875,35795.6484375,-33485.86328125,-9475.9775390625,-7767.85693359375,-123225.96875,-30255.142578125,1.0,0.0
-9045.6171875,-24660.3671875,35747.32421875,-34317.83984375,-9632.3505859375,-7782.20703125,-123278.0078125,-30392.470703125,1.0,0.0
-9248.1240234375,-24671.900390625,35682.68359375,-36035.34765625,-9809.3759765625,-7797.00390625,-123323.25,-30531.1875,1.0,0.0
-9143.427734375,-24660.412109375,35716.03125,-35494.16796875,-9717.8681640625,-7795.88623046875,-123296.2421875,-30458.6328125,1.0,0.0
-8896.5302734375,-24642.75390625,35795.69140625,-33788.73046875,-9515.763671875,-7778.89892578125,-123244.2109375,-30301.90234375,1.0,0.0
-8966.447265625,-24648.4765625,35784.7421875,-33888.23828125,-9587.6015625,-7772.68505859375,-123269.2890625,-30388.26953125,1.0,0.0
-9234.712890625,-24666.9375,35692.5625,-35959.80078125,-9820.73046875,-7802.45751953125,-123333.4375,-30564.759765625,1.0,0.0
-9149.3740234375,-24655.896484375,35715.94140625,-35653.89453125,-9754.390625,-7803.08349609375,-123311.0,-30540.9765625,1.0,0.0
-8934.1259765625,-24644.453125,35784.47265625,-34146.4921875,-9557.4267578125,-7788.0185546875,-123263.5703125,-30307.9375,1.0,0.0
-8907.7958984375,-24646.375,35799.94140625,-33535.21484375,-9527.7890625,-7776.66357421875,-123259.9921875,-30273.828125,1.0,0.0
-9221.5693359375,-24666.490234375,35696.31640625,-35772.359375,-9805.576171875,-7807.86669921875,-123324.0546875,-30533.556640625,1.0,0.0
-9179.4140625,-24660.544921875,35707.08984375,-35784.33984375,-9762.83984375,-7799.46240234375,-123317.96875,-30477.408203125,1.0,0.0
-8987.6806640625,-24647.447265625,35767.26171875,-34510.6015625,-9598.107421875,-7791.7734375,-123284.4453125,-30343.4765625,1.0,0.0
-8862.466796875,-24640.787109375,35810.7578125,-33306.37890625,-9491.5341796875,-7788.5546875,-123252.078125,-30280.802734375,1.0,0.0
-9190.8583984375,-24665.642578125,35706.33203125,-35468.95703125,-9777.4580078125,-7798.92578125,-123327.4921875,-30524.75,1.0,0.0
-9197.6982421875,-24663.31640625,35701.3671875,-35877.0546875,-9780.36328125,-7795.5732421875,-123324.5,-30516.03125,1.0,0.0
-9032.294921875,-24649.7265625,35754.56640625,-34837.25,-9644.1962890625,-7789.9853515625,-123291.4140625,-30396.62890625,1.0,0.0
-8835.8232421875,-24636.2265625,35821.3984375,-33251.21484375,-9482.056640625,-7790.56640625,-123253.1484375,-30267.748046875,1.0,0.0
-9140.208984375,-24658.533203125,35725.59765625,-35099.2578125,-9748.5341796875,-7801.5185546875,-123326.2890625,-30479.197265625,1.0,0.0
-9211.109375,-24658.623046875,35693.0078125,-35986.80078125,-9811.56640625,-7804.06689453125,-123334.78125,-30538.3828125,1.0,0.0
-9070.9638671875,-24645.5703125,35738.11328125,-35132.96484375,-9694.6669921875,-7797.45068359375,-123304.9609375,-30449.15625,1.0,0.0
-8832.470703125,-24630.7734375,35812.8125,-33336.46484375,-9488.091796875,-7790.521484375,-123249.0390625,-30285.00390625,1.0,0.0
-9072.0810546875,-24648.654296875,35742.80859375,-34637.46875,-9699.0029296875,-7807.86669921875,-123314.2578125,-30457.24609375,1.0,0.0
-9221.9716796875,-24657.23828125,35685.85546875,-36020.015625,-9823.7705078125,-7820.02587890625,-123337.734375,-30552.46484375,1.0,0.0
-9102.0771484375,-24647.537109375,35720.6796875,-35344.8125,-9716.4375,-7815.1083984375,-123294.546875,-30475.216796875,1.0,0.0
-8848.6083984375,-24629.4765625,35799.8515625,-33557.8828125,-9508.07421875,-7789.67236328125,-123250.203125,-30304.583984375,1.0,0.0
-8996.9794921875,-24641.099609375,35759.57421875,-34176.30859375,-9642.7216796875,-7789.04638671875,-123285.1171875,-30442.40625,1.0,0.0
-9224.966796875,-24656.521484375,35681.56640625,-36003.87890625,-9833.560546875,-7812.42626953125,-123332.6328125,-30563.283203125,1.0,0.0
-9128.5419921875,-24648.654296875,35708.87890625,-35528.3671875,-9741.7392578125,-7808.62646484375,-123308.1796875,-30458.767578125,1.0,0.0
