channel1,channel2,channel3,channel4,channel5,channel6,channel7,channel8
-84997.07031,-41302.08984,-59375.66406,-81846.11719,-93969.88281,-76308.09375,-85481.71875,-139458.2188
-85001.85156,-41307.25391,-59380.31641,-81862.30469,-93973.61719,-76311.82813,-85493.03125,-139465.25
-85003.97656,-41314.98828,-59391.40234,-81778.61719,-93960.16406,-76312.74219,-85482.30469,-139444.2188
-85000.28906,-41310.80859,-59386.125,-81751.88281,-93953.21094,-76308.07031,-85469.07031,-139433.7188
-84999.41406,-41303.87891,-59373.65234,-81834.25,-93966.21875,-76304.1875,-85490.97656,-139440.2031
-85003.50781,-41306.47266,-59376.49219,-81871.73438,-93974.26563,-76307.46875,-85506.17188,-139448.5313
-85005.51563,-41314.16016,-59389.57031,-81792.89844,-93963.82813,-76314.44531,-85478.83594,-139445.9688
-85002.09375,-41312.08203,-59389.48047,-81741.89063,-93952.60938,-76312.94531,-85462.71875,-139434.25
-85000.9375,-41304.72656,-59378.68359,-81814.69531,-93962.08594,-76305.92969,-85483.9375,-139440.7344
-85004.10938,-41304.46094,-59377.27344,-81876.92188,-93975.53906,-76312.1875,-85514.89063,-139470.8125
-85005.02344,-41312.17188,-59387.66797,-81811.94531,-93968.34375,-76324.4375,-85494.46094,-139474.0156
-85002.83594,-41314.04688,-59391.28906,-81744.9375,-93953.29688,-76318.46875,-85473.40625,-139431.3594
-85000.03906,-41306.82813,-59381.72266,-81798.86719,-93959.28906,-76312.85938,-85477.58594,-139435.9219
-85001.82813,-41306.35938,-59378.34766,-81871.28906,-93973.0625,-76319.63281,-85507.07031,-139455.3438
-85003.82031,-41314.16016,-59387.73438,-81825.91406,-93970.55469,-76324.67969,-85505.07813,-139470.4531
-85000.3125,-41315.12109,-59390.30469,-81744.30469,-93956.16406,-76324.14063,-85474.10156,-139464.1719
-84997.46875,-41307.74609,-59383.60156,-81778.41406,-93956.47656,-76314.375,-85476.15625,-139438.9375
-85000.89063,-41305.82422,-59379.24219,-81864.33594,-93969.92969,-76311.74219,-85506.66406,-139449.1094
-85005.49219,-41312.19141,-59387.53516,-81842.00781,-93970.01563,-76320.34375,-85509.59375,-139461
-85004.98438,-41316.23828,-59394.28516,-81756.82813,-93957.10156,-76323.63281,-85488.64844,-139449.4531
-85001.92188,-41310.85156,-59383.69141,-81768.53906,-93955.13281,-76316.23438,-85474.8125,-139442.0781
-85002.03125,-41306.71484,-59374.85938,-81855.30469,-93969.79688,-76314.42188,-85497.70313,-139455.4688
-85005.69531,-41312.61719,-59381.92578,-81853.89844,-93971.76563,-76316.72656,-85506.26563,-139455.7031
-85003.95313,-41317,-59391.06641,-81762.41406,-93956.42969,-76322.0625,-85479.92969,-139444.7813
-84999.28125,-41311.99219,-59387.625,-81749.3125,-93951.57813,-76318.17969,-85465.5625,-139434.7188
-84998.11719,-41305.44141,-59377.54297,-81838.45313,-93966.625,-76309.72656,-85495.10938,-139453.3438
-85001,-41308.70703,-59380.17969,-81861.94531,-93973.125,-76315.64844,-85515.5625,-139462.3438
-85002.96875,-41315.70313,-59388.85156,-81776.85156,-93958.84375,-76318.71094,-85485.83594,-139444.6875
-84999.52344,-41312.23828,-59384.89844,-81741.9375,-93949.60938,-76314.42188,-85455.00781,-139435.6094
-84997.80469,-41305.71094,-59378.10156,-81822.45313,-93961.17188,-76310.24219,-85489.39063,-139441.6875
-85001.35938,-41308.28125,-59380.80469,-81868.14063,-93971.33594,-76313.57031,-85519.78906,-139455.7969
-85002.45313,-41315.12109,-59389.41016,-81792.38281,-93961.99219,-76321.50781,-85509.10156,-139456.6875
-84999.19531,-41313.37891,-59388.44922,-81739.83594,-93951.0625,-76316.00781,-85481.03125,-139438.4531
-84999.23438,-41306.85156,-59380.49219,-81807.17969,-93958.01563,-76306.86719,-85477.40625,-139436.5313
-85002.70313,-41307.60938,-59379.71094,-81867.24219,-93968.74219,-76310.13281,-85508.03125,-139450.6094
-85004.84375,-41314.74219,-59386.82031,-81806.625,-93961.61719,-76317.03906,-85495.10938,-139450.25
-85002.16406,-41314.91797,-59389.16797,-81736.57813,-93948.09375,-76317.54688,-85459.88281,-139438.0938
-84999.48438,-41307.1875,-59378.34766,-81789.97656,-93954.90625,-76310.0625,-85470.25781,-139440.4688
-85002.03125,-41306,-59373.92188,-81867.3125,-93968.5,-76309.41406,-85503.85156,-139450.6094
-85005.49219,-41313.89063,-59385.23047,-81826.25,-93963.28906,-76316.25781,-85501.25781,-139451.625
